,Column,Value,Count
280,배합_염료1_Brown,0.05,22
281,배합_염료1_Brown,6.0,20
282,배합_염료1_Brown,1.0,15
283,배합_염료1_Brown,0.5,13
284,배합_염료1_Brown,4.0,13
285,배합_염료1_Brown,0.1,11
286,배합_염료1_Brown,1.5,10
287,배합_염료1_Brown,3.0,10
288,배합_염료1_Brown,2.5,9
289,배합_염료1_Brown,5.0,1
290,배합_염료3_Brown,0.0,3240
291,배합_염료3_Brown,1.0,16
292,배합_염료3_Brown,2.0,15
293,배합_염료3_Brown,4.0,13
294,배합_염료3_Brown,0.5,12
295,배합_염료3_Brown,6.0,12
296,배합_염료3_Brown,3.0,11
297,배합_염료3_Brown,0.05,11
298,배합_염료3_Brown,0.1,10
299,배합_염료3_Brown,1.5,3
300,배합_염료3_Brown,2.5,3
301,배합_염료3_Brown,5.0,1
302,배합_조제_V1,0.3,3344
303,배합_조제_V1,0.0,3
304,배합_조제_V2,0.2,3018
305,배합_조제_V2,0.5,326
306,배합_조제_V2,0.0,3
307,배합_조제_V3,0.0,3295
308,배합_조제_V3,4.0,52
309,배합_조제_V4,0.0,3096
310,배합_조제_V4,4.0,105
311,배합_조제_V4,2.0,57
312,배합_조제_V4,3.0,55
313,배합_조제_V4,1.5,34
314,배합_조제_V5,0.0,3235
315,배합_조제_V5,4.0,70
316,배합_조제_V5,2.0,21
317,배합_조제_V5,3.0,21
318,배합_조제_V6,0.0,3233
319,배합_조제_V6,4.0,71
320,배합_조제_V6,3.0,22
321,배합_조제_V6,2.0,21
322,염색_정보_V2,1.5,3146
323,염색_정보_V2,0.5,201
324,염색_정보_V5,0.75,2938
325,염색_정보_V5,1.5,206
326,염색_정보_V5,0.5,203
327,염색_정보_V8,1.458333333,2236
328,염색_정보_V8,1.5,349
329,염색_정보_V8,0.833333333,252
330,염색_정보_V8,0.5,209
331,염색_정보_V8,1.666666667,156
332,염색_정보_V8,1.25,145
333,염색_정보_V9,135.0,2645
334,염색_정보_V9,120.0,191
335,염색_정보_V9,140.0,185
336,염색_정보_V9,130.0,177
337,염색_정보_V9,136.0,149
338,염색_정보_V10,60.0,2027
339,염색_정보_V10,80.0,195
340,염색_정보_V10,40.0,191
341,염색_정보_V10,70.0,191
342,염색_정보_V10,10.0,188
343,염색_정보_V10,20.0,188
344,염색_정보_V10,50.0,185
345,염색_정보_V10,30.0,182
346,염색_정보_V11,1.97222,3198
347,염색_정보_V11,2.0,149
348,후처리_정보_V1,2.0,3170
349,후처리_정보_V1,1.5,177
350,후처리_정보_V2,4.0,3021
351,후처리_정보_V2,1.5,177
352,후처리_정보_V2,2.0,149
353,배합_염료1_Yellow_prop,0.0,2720
354,배합_염료1_Yellow_prop,0.333333333,154
355,배합_염료1_Yellow_prop,1.0,144
356,배합_염료1_Yellow_prop,0.666666667,64
357,배합_염료1_Yellow_prop,0.66,44
358,배합_염료1_Yellow_prop,0.34,41
359,배합_염료1_Yellow_prop,0.6665,33
360,배합_염료1_Yellow_prop,0.3335,33
361,배합_염료1_Yellow_prop,0.66675,31
362,배합_염료1_Yellow_prop,0.33325,27
363,배합_염료1_Yellow_prop,0.666,10
364,배합_염료1_Yellow_prop,0.667,9
365,배합_염료1_Yellow_prop,0.33,9
366,배합_염료1_Yellow_prop,0.334,8
367,배합_염료1_Yellow_prop,0.67,8
368,배합_염료1_Yellow_prop,0.333,8
369,배합_염료1_Yellow_prop,0.3332,2
370,배합_염료1_Yellow_prop,0.6668,2
371,배합_염료1_Red_prop,0.0,2719
372,배합_염료1_Red_prop,0.333333333,162
373,배합_염료1_Red_prop,1.0,143
374,배합_염료1_Red_prop,0.666666667,55
375,배합_염료1_Red_prop,0.66,44
376,배합_염료1_Red_prop,0.34,43
377,배합_염료1_Red_prop,0.3335,34
378,배합_염료1_Red_prop,0.6665,32
379,배합_염료1_Red_prop,0.66675,28
380,배합_염료1_Red_prop,0.33325,24
381,배합_염료1_Red_prop,0.333,14
382,배합_염료1_Red_prop,0.667,12
383,배합_염료1_Red_prop,0.334,10
384,배합_염료1_Red_prop,0.666,8
385,배합_염료1_Red_prop,0.67,8
386,배합_염료1_Red_prop,0.33,7
387,배합_염료1_Red_prop,0.3332,2
388,배합_염료1_Red_prop,0.6668,2
389,배합_염료1_Blue_prop,0.0,2724
390,배합_염료1_Blue_prop,0.333333333,157
391,배합_염료1_Blue_prop,1.0,137
392,배합_염료1_Blue_prop,0.666666667,60
393,배합_염료1_Blue_prop,0.34,44
394,배합_염료1_Blue_prop,0.66,40
395,배합_염료1_Blue_prop,0.6665,35
396,배합_염료1_Blue_prop,0.3335,33
397,배합_염료1_Blue_prop,0.33325,32
398,배합_염료1_Blue_prop,0.66675,24
399,배합_염료1_Blue_prop,0.667,13
400,배합_염료1_Blue_prop,0.333,12
401,배합_염료1_Blue_prop,0.334,9
402,배합_염료1_Blue_prop,0.666,9
403,배합_염료1_Blue_prop,0.33,7
404,배합_염료1_Blue_prop,0.67,7
405,배합_염료1_Blue_prop,0.6668,2
406,배합_염료1_Blue_prop,0.3332,2
407,배합_염료2_Yellow_prop,0.0,3192
408,배합_염료2_Yellow_prop,1.0,78
409,배합_염료2_Yellow_prop,0.333333333,23
410,배합_염료2_Yellow_prop,0.666666667,8
411,배합_염료2_Yellow_prop,0.34,4
412,배합_염료2_Yellow_prop,0.6665,4
413,배합_염료2_Yellow_prop,0.3335,4
414,배합_염료2_Yellow_prop,0.667,4
415,배합_염료2_Yellow_prop,0.333,4
416,배합_염료2_Yellow_prop,0.334,4
417,배합_염료2_Yellow_prop,0.33,4
418,배합_염료2_Yellow_prop,0.66,4
419,배합_염료2_Yellow_prop,0.666,3
420,배합_염료2_Yellow_prop,0.67,3
421,배합_염료2_Yellow_prop,0.3332,2
422,배합_염료2_Yellow_prop,0.33325,2
423,배합_염료2_Yellow_prop,0.6668,2
424,배합_염료2_Yellow_prop,0.66675,2
425,배합_염료2_Red_prop,0.0,3194
426,배합_염료2_Red_prop,1.0,78
427,배합_염료2_Red_prop,0.333333333,23
428,배합_염료2_Red_prop,0.666666667,8
429,배합_염료2_Red_prop,0.66,4
430,배합_염료2_Red_prop,0.666,4
431,배합_염료2_Red_prop,0.333,4
432,배합_염료2_Red_prop,0.34,4
433,배합_염료2_Red_prop,0.667,4
434,배합_염료2_Red_prop,0.6665,4
435,배합_염료2_Red_prop,0.33,3
436,배합_염료2_Red_prop,0.67,3
437,배합_염료2_Red_prop,0.334,3
438,배합_염료2_Red_prop,0.3335,3
439,배합_염료2_Red_prop,0.3332,2
440,배합_염료2_Red_prop,0.33325,2
441,배합_염료2_Red_prop,0.6668,2
442,배합_염료2_Red_prop,0.66675,2
443,배합_염료2_Blue_prop,0.0,3194
444,배합_염료2_Blue_prop,1.0,76
445,배합_염료2_Blue_prop,0.333333333,23
446,배합_염료2_Blue_prop,0.666666667,8
447,배합_염료2_Blue_prop,0.67,4
448,배합_염료2_Blue_prop,0.666,4
449,배합_염료2_Blue_prop,0.334,4
450,배합_염료2_Blue_prop,0.667,4
451,배합_염료2_Blue_prop,0.34,4
452,배합_염료2_Blue_prop,0.333,4
453,배합_염료2_Blue_prop,0.66,4
454,배합_염료2_Blue_prop,0.3335,4
455,배합_염료2_Blue_prop,0.33,3
456,배합_염료2_Blue_prop,0.6665,3
457,배합_염료2_Blue_prop,0.6668,2
458,배합_염료2_Blue_prop,0.66675,2
459,배합_염료2_Blue_prop,0.3332,2
460,배합_염료2_Blue_prop,0.33325,2
461,배합_염료3_Yellow_prop,0.0,2816
462,배합_염료3_Yellow_prop,0.333333333,124
463,배합_염료3_Yellow_prop,1.0,105
464,배합_염료3_Yellow_prop,0.666666667,40
465,배합_염료3_Yellow_prop,0.33,24
466,배합_염료3_Yellow_prop,0.334,23
467,배합_염료3_Yellow_prop,0.67,22
468,배합_염료3_Yellow_prop,0.33325,21
469,배합_염료3_Yellow_prop,0.66,21
470,배합_염료3_Yellow_prop,0.666,21
471,배합_염료3_Yellow_prop,0.34,21
472,배합_염료3_Yellow_prop,0.3335,21
473,배합_염료3_Yellow_prop,0.667,21
474,배합_염료3_Yellow_prop,0.6665,21
475,배합_염료3_Yellow_prop,0.66675,21
476,배합_염료3_Yellow_prop,0.333,19
477,배합_염료3_Yellow_prop,0.5,3
478,배합_염료3_Yellow_prop,0.3332,2
479,배합_염료3_Yellow_prop,0.6668,1
480,배합_염료3_Red_prop,0.0,2821
481,배합_염료3_Red_prop,0.333333333,123
482,배합_염료3_Red_prop,1.0,99
483,배합_염료3_Red_prop,0.666666667,43
484,배합_염료3_Red_prop,0.67,23
485,배합_염료3_Red_prop,0.34,23
486,배합_염료3_Red_prop,0.66,22
487,배합_염료3_Red_prop,0.3335,22
488,배합_염료3_Red_prop,0.334,22
489,배합_염료3_Red_prop,0.666,22
490,배합_염료3_Red_prop,0.33,21
491,배합_염료3_Red_prop,0.6665,21
492,배합_염료3_Red_prop,0.33325,20
493,배합_염료3_Red_prop,0.667,20
494,배합_염료3_Red_prop,0.333,20
495,배합_염료3_Red_prop,0.66675,19
496,배합_염료3_Red_prop,0.5,3
497,배합_염료3_Red_prop,0.6668,2
498,배합_염료3_Red_prop,0.3332,1
499,배합_염료3_Blue_prop,0.0,2825
500,배합_염료3_Blue_prop,0.333333333,123
501,배합_염료3_Blue_prop,1.0,102
502,배합_염료3_Blue_prop,0.666666667,44
503,배합_염료3_Blue_prop,0.67,23
504,배합_염료3_Blue_prop,0.33,23
505,배합_염료3_Blue_prop,0.666,22
506,배합_염료3_Blue_prop,0.66,22
507,배합_염료3_Blue_prop,0.34,21
508,배합_염료3_Blue_prop,0.333,21
509,배합_염료3_Blue_prop,0.6665,21
510,배합_염료3_Blue_prop,0.334,20
511,배합_염료3_Blue_prop,0.3335,20
512,배합_염료3_Blue_prop,0.66675,20
513,배합_염료3_Blue_prop,0.667,19
514,배합_염료3_Blue_prop,0.33325,19
515,배합_염료3_Blue_prop,0.3332,1
516,배합_염료3_Blue_prop,0.6668,1
517,배합_염료1_Black_prop,0.0,3205
518,배합_염료1_Black_prop,1.0,142
519,배합_염료2_Black_prop,0.0,3266
520,배합_염료2_Black_prop,1.0,81
521,배합_염료3_Black_prop,0.0,3240
522,배합_염료3_Black_prop,1.0,107
523,배합_염료1_Grey_prop,0.0,3209
524,배합_염료1_Grey_prop,1.0,138
525,배합_염료2_Grey_prop,0.0,3256
526,배합_염료2_Grey_prop,1.0,91
527,배합_염료3_Grey_prop,0.0,3237
528,배합_염료3_Grey_prop,1.0,110
529,배합_염료2_Brown_prop,0.0,3265
530,배합_염료2_Brown_prop,1.0,82
531,배합_염료1_Brown_prop,0.0,3201
532,배합_염료1_Brown_prop,1.0,146
533,배합_염료3_Brown_prop,0.0,3240
534,배합_염료3_Brown_prop,1.0,107
535,색상_L*,18.465,3
536,색상_L*,42.42,3
537,색상_L*,75.275,3
538,색상_L*,26.9,3
539,색상_L*,42.23,3
540,색상_L*,54.68,3
541,색상_L*,78.93,3
542,색상_L*,75.705,3
543,색상_L*,23.81,3
544,색상_L*,39.145,2
545,색상_L*,25.225,2
546,색상_L*,54.23,2
547,색상_L*,48.02,2
548,색상_L*,79.885,2
549,색상_L*,48.21,2
550,색상_L*,50.73,2
551,색상_L*,53.14,2
552,색상_L*,83.32,2
553,색상_L*,76.745,2
554,색상_L*,30.0725,2
555,색상_L*,39.185,2
556,색상_L*,77.565,2
557,색상_L*,25.455,2
558,색상_L*,50.854,2
559,색상_L*,41.3,2
560,색상_L*,35.54,2
561,색상_L*,55.8,2
562,색상_L*,50.92,2
563,색상_L*,78.87,2
564,색상_L*,25.05,2
565,색상_L*,39.285,2
566,색상_L*,40.635,2
567,색상_L*,79.135,2
568,색상_L*,38.465,2
569,색상_L*,27.67,2
570,색상_L*,20.73,2
571,색상_L*,41.22,2
572,색상_L*,19.51,2
573,색상_L*,40.22,2
574,색상_L*,51.08,2
575,색상_L*,76.055,2
576,색상_L*,78.625,2
577,색상_L*,29.51,2
578,색상_L*,73.37,2
579,색상_L*,50.895,2
580,색상_L*,47.594,2
581,색상_L*,72.9025,2
582,색상_L*,75.295,2
583,색상_L*,75.135,2
584,색상_L*,50.209,2
585,색상_L*,84.71,2
586,색상_L*,19.39,2
587,색상_L*,77.15,2
588,색상_L*,34.245,2
589,색상_L*,76.03,2
590,색상_L*,73.23,2
591,색상_L*,32.49,2
592,색상_L*,37.975,2
593,색상_L*,79.01,2
594,색상_L*,39.5,2
595,색상_L*,55.7615,2
596,색상_L*,72.665,2
597,색상_L*,78.92,2
598,색상_L*,77.49,2
599,색상_L*,20.85,2
600,색상_L*,75.12,2
601,색상_L*,76.96,2
602,색상_L*,76.81,2
603,색상_L*,34.6175,2
604,색상_L*,44.779,2
605,색상_L*,54.1325,2
606,색상_L*,76.115,2
607,색상_L*,31.16,2
608,색상_L*,55.475,2
609,색상_L*,48.26,2
610,색상_L*,25.42,2
611,색상_L*,34.61,2
612,색상_L*,44.765,2
613,색상_L*,33.93,2
614,색상_L*,34.7,2
615,색상_L*,25.6325,2
616,색상_L*,29.625,2
617,색상_L*,76.345,2
618,색상_L*,18.315,2
619,색상_L*,79.73,2
620,색상_L*,48.22,2
621,색상_L*,20.685,2
622,색상_L*,76.035,2
623,색상_L*,54.66,2
624,색상_L*,40.14,2
625,색상_L*,76.705,2
626,색상_L*,75.515,2
627,색상_L*,52.654,2
628,색상_L*,77.975,2
629,색상_L*,53.425,2
630,색상_L*,39.85,2
631,색상_L*,79.89,2
632,색상_L*,77.06,2
633,색상_L*,54.405,2
634,색상_L*,56.63,2
635,색상_L*,21.495,2
636,색상_L*,77.545,2
637,색상_L*,80.4015,2
638,색상_L*,24.11,2
639,색상_L*,76.36,2
640,색상_L*,75.97,2
641,색상_L*,30.8,2
642,색상_L*,75.745,2
643,색상_L*,76.55,2
644,색상_L*,79.185,2
645,색상_L*,54.48,2
646,색상_L*,21.275,2
647,색상_L*,27.69,2
648,색상_L*,53.06,2
649,색상_L*,35.365,2
650,색상_L*,32.52,2
651,색상_L*,49.68,2
652,색상_L*,75.3,2
653,색상_L*,77.4765,2
654,색상_L*,75.35,2
655,색상_L*,75.31,2
656,색상_L*,18.58,2
657,색상_L*,72.995,2
658,색상_L*,21.205,2
659,색상_L*,81.69,2
660,색상_L*,39.65,2
661,색상_L*,21.13,2
662,색상_L*,80.295,2
663,색상_L*,23.37,2
664,색상_L*,39.625,2
665,색상_L*,34.875,2
666,색상_L*,37.905,2
667,색상_L*,37.875,2
668,색상_L*,74.295,2
669,색상_L*,39.1265,2
670,색상_L*,86.61,2
671,색상_L*,32.82,2
672,색상_L*,48.41,2
673,색상_L*,71.01,2
674,색상_L*,35.77,2
675,색상_L*,30.21,2
676,색상_L*,29.79,2
677,색상_L*,49.43,2
678,색상_L*,21.04,2
679,색상_L*,88.62,2
680,색상_L*,61.625,2
681,색상_L*,78.01,2
682,색상_L*,43.715,2
683,색상_L*,54.115,2
684,색상_L*,43.905,2
685,색상_L*,54.27,2
686,색상_L*,50.81,2
687,색상_L*,31.375,2
688,색상_L*,82.3015,2
689,색상_L*,31.315,2
690,색상_L*,82.338,2
691,색상_L*,75.52,2
692,색상_L*,75.455,2
693,색상_L*,82.309,2
694,색상_L*,18.81,2
695,색상_L*,45.965,2
696,색상_L*,17.62,2
697,색상_L*,31.36,2
698,색상_L*,49.185,2
699,색상_L*,18.89,2
700,색상_L*,19.13,2
701,색상_L*,75.89,2
702,색상_L*,30.91,2
703,색상_L*,61.73,2
704,색상_L*,57.47,2
705,색상_L*,59.09,2
706,색상_L*,80.419,1
707,색상_L*,72.9655,1
708,색상_L*,80.3365,1
709,색상_L*,71.5155,1
710,색상_L*,71.7555,1
711,색상_L*,71.5165,1
712,색상_L*,71.7115,1
713,색상_L*,56.3515,1
714,색상_L*,72.934,1
715,색상_L*,56.494,1
716,색상_L*,56.3125,1
717,색상_L*,71.65,1
718,색상_L*,71.81,1
719,색상_L*,71.2905,1
720,색상_L*,72.9405,1
721,색상_L*,56.1575,1
722,색상_L*,72.9215,1
723,색상_L*,71.32,1
724,색상_L*,34.083,1
725,색상_L*,75.629,1
726,색상_L*,72.8305,1
727,색상_L*,72.7215,1
728,색상_L*,53.848,1
729,색상_L*,53.8455,1
730,색상_L*,52.794,1
731,색상_L*,52.969,1
732,색상_L*,78.339,1
733,색상_L*,53.0625,1
734,색상_L*,78.2255,1
735,색상_L*,53.3375,1
736,색상_L*,53.583,1
737,색상_L*,78.0675,1
738,색상_L*,53.524,1
739,색상_L*,53.849,1
740,색상_L*,54.315,1
741,색상_L*,78.139,1
742,색상_L*,54.39,1
743,색상_L*,75.7815,1
744,색상_L*,75.6615,1
745,색상_L*,75.6665,1
746,색상_L*,78.2865,1
747,색상_L*,71.7315,1
748,색상_L*,72.5255,1
749,색상_L*,72.9715,1
750,색상_L*,73.208,1
751,색상_L*,75.948,1
752,색상_L*,78.464,1
753,색상_L*,75.788,1
754,색상_L*,75.735,1
755,색상_L*,80.348,1
756,색상_L*,78.4565,1
757,색상_L*,75.708,1
758,색상_L*,75.7005,1
759,색상_L*,75.7,1
760,색상_L*,78.359,1
761,색상_L*,56.613,1
762,색상_L*,48.689,1
