Column,Value,Count
배합_조제_V6,0.0,3233
배합_조제_V6,4.0,71
배합_조제_V6,3.0,22
배합_조제_V6,2.0,21
염색_정보_V2,1.5,3146
염색_정보_V2,0.5,201
염색_정보_V5,0.75,2938
염색_정보_V5,1.5,206
염색_정보_V5,0.5,203
염색_정보_V8,1.458333333,2236
염색_정보_V8,1.5,349
염색_정보_V8,0.833333333,252
염색_정보_V8,0.5,209
염색_정보_V8,1.666666667,156
염색_정보_V8,1.25,145
염색_정보_V9,135.0,2645
염색_정보_V9,120.0,191
염색_정보_V9,140.0,185
염색_정보_V9,130.0,177
염색_정보_V9,136.0,149
염색_정보_V10,60.0,2027
염색_정보_V10,80.0,195
염색_정보_V10,40.0,191
염색_정보_V10,70.0,191
염색_정보_V10,10.0,188
염색_정보_V10,20.0,188
염색_정보_V10,50.0,185
염색_정보_V10,30.0,182
염색_정보_V11,1.97222,3198
염색_정보_V11,2.0,149
후처리_정보_V1,2.0,3170
후처리_정보_V1,1.5,177
후처리_정보_V2,4.0,3021
후처리_정보_V2,1.5,177
후처리_정보_V2,2.0,149
배합_염료1_Yellow_prop,0.0,2720
배합_염료1_Yellow_prop,0.333333333,154
배합_염료1_Yellow_prop,1.0,144
배합_염료1_Yellow_prop,0.666666667,64
배합_염료1_Yellow_prop,0.66,44
배합_염료1_Yellow_prop,0.34,41
배합_염료1_Yellow_prop,0.6665,33
배합_염료1_Yellow_prop,0.3335,33
배합_염료1_Yellow_prop,0.66675,31
배합_염료1_Yellow_prop,0.33325,27
배합_염료1_Yellow_prop,0.666,10
배합_염료1_Yellow_prop,0.667,9
배합_염료1_Yellow_prop,0.33,9
배합_염료1_Yellow_prop,0.334,8
배합_염료1_Yellow_prop,0.67,8
배합_염료1_Yellow_prop,0.333,8
배합_염료1_Yellow_prop,0.3332,2
배합_염료1_Yellow_prop,0.6668,2
배합_염료1_Red_prop,0.0,2719
배합_염료1_Red_prop,0.333333333,162
배합_염료1_Red_prop,1.0,143
배합_염료1_Red_prop,0.666666667,55
배합_염료1_Red_prop,0.66,44
배합_염료1_Red_prop,0.34,43
배합_염료1_Red_prop,0.3335,34
배합_염료1_Red_prop,0.6665,32
배합_염료1_Red_prop,0.66675,28
배합_염료1_Red_prop,0.33325,24
배합_염료1_Red_prop,0.333,14
배합_염료1_Red_prop,0.667,12
배합_염료1_Red_prop,0.334,10
배합_염료1_Red_prop,0.666,8
배합_염료1_Red_prop,0.67,8
배합_염료1_Red_prop,0.33,7
배합_염료1_Red_prop,0.3332,2
배합_염료1_Red_prop,0.6668,2
배합_염료1_Blue_prop,0.0,2724
배합_염료1_Blue_prop,0.333333333,157
배합_염료1_Blue_prop,1.0,137
배합_염료1_Blue_prop,0.666666667,60
배합_염료1_Blue_prop,0.34,44
배합_염료1_Blue_prop,0.66,40
배합_염료1_Blue_prop,0.6665,35
배합_염료1_Blue_prop,0.3335,33
배합_염료1_Blue_prop,0.33325,32
배합_염료1_Blue_prop,0.66675,24
배합_염료1_Blue_prop,0.667,13
배합_염료1_Blue_prop,0.333,12
배합_염료1_Blue_prop,0.334,9
배합_염료1_Blue_prop,0.666,9
배합_염료1_Blue_prop,0.33,7
배합_염료1_Blue_prop,0.67,7
배합_염료1_Blue_prop,0.6668,2
배합_염료1_Blue_prop,0.3332,2
배합_염료2_Yellow_prop,0.0,3192
배합_염료2_Yellow_prop,1.0,78
배합_염료2_Yellow_prop,0.333333333,23
배합_염료2_Yellow_prop,0.666666667,8
배합_염료2_Yellow_prop,0.34,4
배합_염료2_Yellow_prop,0.6665,4
배합_염료2_Yellow_prop,0.3335,4
배합_염료2_Yellow_prop,0.667,4
배합_염료2_Yellow_prop,0.333,4
배합_염료2_Yellow_prop,0.334,4
배합_염료2_Yellow_prop,0.33,4
배합_염료2_Yellow_prop,0.66,4
배합_염료2_Yellow_prop,0.666,3
배합_염료2_Yellow_prop,0.67,3
배합_염료2_Yellow_prop,0.3332,2
배합_염료2_Yellow_prop,0.33325,2
배합_염료2_Yellow_prop,0.6668,2
배합_염료2_Yellow_prop,0.66675,2
배합_염료2_Red_prop,0.0,3194
배합_염료2_Red_prop,1.0,78
